year,value,income_group_encoded,groupscommodity_encoded,region_encoded,politicsest_encoded
21.0,16.228141722235527,0,1,2,0
17.0,4.454347296253507,3,1,0,1
18.0,0.0,3,1,0,1
19.0,9.301186055275759,3,1,0,1
20.0,11.159260272895194,3,1,0,1
21.0,12.213301454618094,3,1,0,1
17.0,10.254179634797001,3,1,2,1
18.0,10.610562292793487,3,1,2,1
19.0,0.0,3,1,2,1
20.0,0.0,3,1,2,1
21.0,0.0,3,1,2,1
20.0,0.0,0,1,1,0
21.0,10.507284258914009,0,1,1,0
19.0,0.0,2,1,6,1
20.0,9.561067663645012,2,1,6,1
21.0,10.573903321093981,2,1,6,1
17.0,11.325402403776808,0,1,1,0
18.0,11.325402403776808,0,1,1,0
19.0,11.452123952509567,0,1,1,0
20.0,11.466891997618188,0,1,1,0
21.0,11.37940550085183,0,1,1,0
17.0,11.579658451506333,2,1,3,1
18.0,11.461642696843066,2,1,3,1
19.0,11.519911009143941,2,1,3,1
20.0,11.444657330797734,2,1,3,1
21.0,11.87688084212164,2,1,3,1
17.0,13.888576058361654,3,1,0,1
18.0,13.304686600863562,3,1,0,1
19.0,14.137087407068785,3,1,0,1
20.0,14.8976888790256,3,1,0,1
21.0,15.009433329466965,3,1,0,1
17.0,15.990995079067016,3,1,2,1
18.0,16.07036138413303,3,1,2,1
19.0,16.130025012337114,3,1,2,1
20.0,16.00088441429373,3,1,2,1
21.0,16.312780055188565,3,1,2,1
17.0,0.0,2,1,6,1
18.0,6.55250788703459,2,1,6,1
19.0,9.814710982145282,2,1,6,1
20.0,7.783640596221253,2,1,6,1
21.0,7.170888478512505,2,1,6,1
17.0,14.659076176479207,0,1,0,0
18.0,14.557448378884015,0,1,0,0
19.0,14.46522870278996,0,1,0,0
20.0,14.630875813726247,0,1,0,0
21.0,14.603968372873895,0,1,0,0
17.0,14.719474020303403,3,1,0,0
18.0,14.563520380205892,3,1,0,0
19.0,14.779105016473432,3,1,0,0
20.0,15.034566340130246,3,1,0,0
21.0,14.93749133091916,3,1,0,0
17.0,13.808184789930987,0,1,1,0
18.0,13.93764057623102,0,1,1,0
19.0,13.88288972813533,0,1,1,0
20.0,13.830104545779648,0,1,1,0
21.0,13.871419135528601,0,1,1,0
17.0,7.403061091090091,3,1,6,0
18.0,9.074635189810808,3,1,6,0
19.0,9.036106025364846,3,1,6,0
20.0,10.22451977466945,3,1,6,0
21.0,10.849162314098441,3,1,6,0
17.0,10.494629692640487,2,1,3,1
18.0,9.826660502422802,2,1,3,1
19.0,8.875007486048396,2,1,3,1
20.0,9.553291574695105,2,1,3,1
21.0,9.090542808520587,2,1,3,1
17.0,15.2762236108167,2,1,0,0
18.0,15.064328899495548,2,1,0,0
19.0,15.384216263513755,2,1,0,0
20.0,15.457543629114246,2,1,0,0
21.0,15.451835940817766,2,1,0,0
17.0,16.275583128906025,3,1,1,1
